GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022000247,260,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,2,4,20,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,9,1,0,20210123,DAL,HOU
Shot Chart Detail,0022000247,343,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,3,11,44,Made Shot,Hook Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,15,1,1,20210123,DAL,HOU
Shot Chart Detail,0022000247,516,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,11,24,Missed Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-94,37,1,0,20210123,DAL,HOU
Shot Chart Detail,0022000247,544,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,9,13,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-43,107,1,0,20210123,DAL,HOU
Shot Chart Detail,0022000247,554,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,8,39,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,96,14,1,1,20210123,DAL,HOU
Shot Chart Detail,0022000265,98,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,1,4,24,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,30,104,1,1,20210125,DAL,DEN
Shot Chart Detail,0022000297,654,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,2,28,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,13,51,1,1,20210129,UTA,DAL
Shot Chart Detail,0022000339,608,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,5,19,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,8,1,1,20210204,DAL,GSW
Shot Chart Detail,0022000339,619,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,4,32,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,21,1,0,20210204,DAL,GSW
Shot Chart Detail,0022000339,621,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,4,30,Missed Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,8,1,0,20210204,DAL,GSW
Shot Chart Detail,0022000339,651,1626246,Boban Marjanovic,1610612742,Dallas Mavericks,4,2,27,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,82,8,1,0,20210204,DAL,GSW
